INFO   | wrapper  | 2017/12/06 17:02:10 | Waiting to start...
INFO   | wrapper  | 2017/12/06 17:02:15 | Waiting to start...
INFO   | wrapper  | 2017/12/06 17:02:20 | Waiting to start...
INFO   | wrapper  | 2017/12/06 17:02:25 | Waiting to start...
INFO   | wrapper  | 2017/12/06 17:02:30 | Waiting to start...
INFO   | wrapper  | 2017/12/06 17:02:35 | Waiting to start...
ERROR  | wrapper  | 2017/12/06 17:02:38 | The Wiki Course Builder service was launched, but failed to start.
ERROR  | wrapper  | 2017/12/06 17:02:38 | Please check the log file more information: H:\J-HaRd\MySoftWare\NetBeansProjects\Wiki-course-builder\Wiki-course-builder\src\release\bin\win64\wrapper.log
WARN   | wrapper  | 2017/12/06 17:05:12 | Unable to write to the configured log directory: ..\..\logs (Impossibile trovare il percorso specificato. (0x3))
WARN   | wrapper  | 2017/12/06 17:05:12 |   The directory does not exist.
WARN   | wrapper  | 2017/12/06 17:05:12 | Unable to write to the configured log file: ..\..\logs\log.txt (Impossibile trovare il percorso specificato. (0x3))
WARN   | wrapper  | 2017/12/06 17:05:12 |   Falling back to the default file in the current working directory: wrapper.log
STATUS | wrapper  | 2017/12/06 17:05:12 | Starting the Wiki Course Builder service...
STATUS | wrapper  | 2017/12/06 17:05:17 | Wiki Course Builder started.
WARN   | wrapper  | 2017/12/06 17:33:35 | Unable to write to the configured log directory: ..\..\logs (Impossibile trovare il percorso specificato. (0x3))
WARN   | wrapper  | 2017/12/06 17:33:35 |   The directory does not exist.
WARN   | wrapper  | 2017/12/06 17:33:35 | Unable to write to the configured log file: ..\..\logs\log.txt (Impossibile trovare il percorso specificato. (0x3))
WARN   | wrapper  | 2017/12/06 17:33:35 |   Falling back to the default file in the current working directory: wrapper.log
STATUS | wrapper  | 2017/12/06 17:33:35 | Stopping the Wiki Course Builder service...
STATUS | wrapper  | 2017/12/06 17:33:38 | Wiki Course Builder stopped.
WARN   | wrapper  | 2017/12/06 17:34:43 | Unable to write to the configured log directory: ..\..\logs (Impossibile trovare il percorso specificato. (0x3))
WARN   | wrapper  | 2017/12/06 17:34:43 |   The directory does not exist.
WARN   | wrapper  | 2017/12/06 17:34:43 | Unable to write to the configured log file: ..\..\logs\log.txt (Impossibile trovare il percorso specificato. (0x3))
WARN   | wrapper  | 2017/12/06 17:34:43 |   Falling back to the default file in the current working directory: wrapper.log
STATUS | wrapper  | 2017/12/06 17:34:43 | Starting the Wiki Course Builder service...
STATUS | wrapper  | 2017/12/06 17:34:48 | Wiki Course Builder started.
