STATUS | wrapper  | 2018/07/25 16:45:46 | --> Wrapper Started as Daemon
INFO   | jvm 1    | 2018/07/25 16:46:22 | web - 2018-07-25 16:46:22,470 [qtp1801602722-23] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in MySql => 0
INFO   | jvm 1    | 2018/07/25 16:46:22 | web - 2018-07-25 16:46:22,470 [qtp1801602722-23] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in Wikipedia => 0
INFO   | jvm 1    | 2018/07/25 16:47:02 | Jul 25, 2018 4:47:02 PM Wiki search
INFO   | jvm 1    | 2018/07/25 16:47:02 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&list=search&srwhat=text&srprop=snippet%7Csectionsnippet%7CwordCount%7Cscore&srlimit=50&srsearch=napoleon&srnamespace=0&sroffset=0
INFO   | jvm 1    | 2018/07/25 16:47:03 | Jul 25, 2018 4:47:03 PM Wiki namespace
INFO   | jvm 1    | 2018/07/25 16:47:03 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&meta=siteinfo&siprop=namespaces%7Cnamespacealiases
INFO   | jvm 1    | 2018/07/25 16:47:03 | Jul 25, 2018 4:47:03 PM Wiki namespace
INFO   | jvm 1    | 2018/07/25 16:47:03 | INFO: [en.wikipedia.org] Successfully retrieved namespace list (41 namespaces)
INFO   | jvm 1    | 2018/07/25 16:47:03 | Jul 25, 2018 4:47:03 PM Wiki search
INFO   | jvm 1    | 2018/07/25 16:47:03 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&list=search&srwhat=text&srprop=snippet%7Csectionsnippet%7CwordCount%7Cscore&srlimit=50&srsearch=napoleon&srnamespace=0&sroffset=50
INFO   | jvm 1    | 2018/07/25 16:47:03 | Jul 25, 2018 4:47:03 PM Wiki search
INFO   | jvm 1    | 2018/07/25 16:47:03 | INFO: [en.wikipedia.org] Successfully searched for string "napoleon" (99 items found)
INFO   | jvm 1    | 2018/07/25 16:47:04 | web - 2018-07-25 16:47:03,958 [qtp1801602722-23] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() total pageRequest => 99 
INFO   | jvm 1    | 2018/07/25 16:47:04 | web - 2018-07-25 16:47:04,524 [qtp1801602722-23] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in NoSql => 87
INFO   | jvm 1    | 2018/07/25 16:47:04 | web - 2018-07-25 16:47:04,524 [qtp1801602722-23] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in MySql => 0
INFO   | jvm 1    | 2018/07/25 16:47:04 | web - 2018-07-25 16:47:04,525 [qtp1801602722-23] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in Wikipedia => 0
INFO   | jvm 1    | 2018/07/25 16:48:00 | Jul 25, 2018 4:48:00 PM Wiki search
INFO   | jvm 1    | 2018/07/25 16:48:00 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&list=search&srwhat=text&srprop=snippet%7Csectionsnippet%7CwordCount%7Cscore&srlimit=50&srsearch=napoleon&srnamespace=0&sroffset=0
INFO   | jvm 1    | 2018/07/25 16:48:00 | Jul 25, 2018 4:48:00 PM Wiki namespace
INFO   | jvm 1    | 2018/07/25 16:48:00 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&meta=siteinfo&siprop=namespaces%7Cnamespacealiases
INFO   | jvm 1    | 2018/07/25 16:48:01 | Jul 25, 2018 4:48:01 PM Wiki namespace
INFO   | jvm 1    | 2018/07/25 16:48:01 | INFO: [en.wikipedia.org] Successfully retrieved namespace list (41 namespaces)
INFO   | jvm 1    | 2018/07/25 16:48:01 | Jul 25, 2018 4:48:01 PM Wiki search
INFO   | jvm 1    | 2018/07/25 16:48:01 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&list=search&srwhat=text&srprop=snippet%7Csectionsnippet%7CwordCount%7Cscore&srlimit=50&srsearch=napoleon&srnamespace=0&sroffset=50
INFO   | jvm 1    | 2018/07/25 16:48:01 | Jul 25, 2018 4:48:01 PM Wiki search
INFO   | jvm 1    | 2018/07/25 16:48:01 | INFO: [en.wikipedia.org] Successfully searched for string "napoleon" (100 items found)
INFO   | jvm 1    | 2018/07/25 16:48:01 | web - 2018-07-25 16:48:01,381 [qtp1801602722-24] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() total pageRequest => 100 
INFO   | jvm 1    | 2018/07/25 16:48:01 | web - 2018-07-25 16:48:01,920 [qtp1801602722-24] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in NoSql => 88
INFO   | jvm 1    | 2018/07/25 16:48:01 | web - 2018-07-25 16:48:01,921 [qtp1801602722-24] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in MySql => 0
INFO   | jvm 1    | 2018/07/25 16:48:01 | web - 2018-07-25 16:48:01,921 [qtp1801602722-24] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in Wikipedia => 0
INFO   | jvm 1    | 2018/07/25 16:48:01 | web - 2018-07-25 16:48:01,922 [qtp1801602722-24] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() total pageRequest => 100 
INFO   | jvm 1    | 2018/07/25 16:48:02 | web - 2018-07-25 16:48:02,442 [qtp1801602722-24] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in NoSql => 88
INFO   | jvm 1    | 2018/07/25 16:48:02 | web - 2018-07-25 16:48:02,442 [qtp1801602722-24] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in MySql => 0
INFO   | jvm 1    | 2018/07/25 16:48:02 | web - 2018-07-25 16:48:02,442 [qtp1801602722-24] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in Wikipedia => 0
INFO   | jvm 1    | 2018/07/25 16:52:37 | Jul 25, 2018 4:52:37 PM Wiki search
INFO   | jvm 1    | 2018/07/25 16:52:37 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&list=search&srwhat=text&srprop=snippet%7Csectionsnippet%7CwordCount%7Cscore&srlimit=50&srsearch=napoleon&srnamespace=0&sroffset=0
INFO   | jvm 1    | 2018/07/25 16:52:37 | Jul 25, 2018 4:52:37 PM Wiki namespace
INFO   | jvm 1    | 2018/07/25 16:52:37 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&meta=siteinfo&siprop=namespaces%7Cnamespacealiases
INFO   | jvm 1    | 2018/07/25 16:52:37 | Jul 25, 2018 4:52:37 PM Wiki namespace
INFO   | jvm 1    | 2018/07/25 16:52:37 | INFO: [en.wikipedia.org] Successfully retrieved namespace list (41 namespaces)
INFO   | jvm 1    | 2018/07/25 16:52:37 | Jul 25, 2018 4:52:37 PM Wiki search
INFO   | jvm 1    | 2018/07/25 16:52:37 | INFO: Fetching URL https://en.wikipedia.org/w/api.php?format=xml&maxlag=5&action=query&list=search&srwhat=text&srprop=snippet%7Csectionsnippet%7CwordCount%7Cscore&srlimit=50&srsearch=napoleon&srnamespace=0&sroffset=50
INFO   | jvm 1    | 2018/07/25 16:52:38 | Jul 25, 2018 4:52:38 PM Wiki search
INFO   | jvm 1    | 2018/07/25 16:52:38 | INFO: [en.wikipedia.org] Successfully searched for string "napoleon" (97 items found)
INFO   | jvm 1    | 2018/07/25 16:52:38 | web - 2018-07-25 16:52:38,188 [qtp1801602722-23] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() total pageRequest => 97 
INFO   | jvm 1    | 2018/07/25 16:52:38 | web - 2018-07-25 16:52:38,690 [qtp1801602722-23] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in NoSql => 86
INFO   | jvm 1    | 2018/07/25 16:52:38 | web - 2018-07-25 16:52:38,690 [qtp1801602722-23] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in MySql => 0
INFO   | jvm 1    | 2018/07/25 16:52:38 | web - 2018-07-25 16:52:38,691 [qtp1801602722-23] INFO  i.u.w.course.search.PageServiceImpl - getPagesNoSql() present in Wikipedia => 0
STATUS | wrapper  | 2018/07/25 17:08:46 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2018/07/25 17:08:48 | <-- Wrapper Stopped
STATUS | wrapper  | 2018/07/25 17:16:53 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2018/07/25 17:16:53 | Java Service Wrapper Community Edition 64-bit 3.5.17
STATUS | wrapper  | 2018/07/25 17:16:53 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2018/07/25 17:16:53 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2018/07/25 17:16:53 | 
STATUS | wrapper  | 2018/07/25 17:16:53 | Launching a JVM...
INFO   | jvm 1    | 2018/07/25 17:16:53 | Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=64m; support was removed in 8.0
INFO   | jvm 1    | 2018/07/25 17:16:54 | WrapperManager: Initializing...
